TAZ_index_1,TAZ_index_2,Dis_TAZ
6,10,7071.609328
6,11,6083.392022
6,12,5099.770435
6,13,4124.034249
6,14,3163.488342
6,15,2237.779813
6,16,1416.91866
6,17,1003.821941
6,18,1416.91866
6,19,9221.205495
6,20,8248.068306
6,21,7282.213316
6,22,6326.976433
6,23,5388.008053
6,24,4475.55927
6,25,3609.796502
6,26,2833.83676
6,27,2242.906771
6,28,2007.643091
6,29,2242.906771
6,30,9490.464273
6,31,8548.03557
6,32,7620.296064
6,33,6713.338373
6,34,5836.858068
6,35,5006.886469
6,36,4250.754299
6,37,3615.095035
6,38,3173.154914
6,39,3011.46345
6,40,3173.154914
6,41,9855.074718
6,42,8951.117121
6,43,8069.851158
6,44,7219.591242
6,45,6412.682567
6,46,5667.671277
6,47,5012.234802
6,48,4485.810708
6,49,4137.93399
6,50,4015.283017
6,51,4137.93399
6,52,10304.92032
6,53,9444.118953
6,54,8613.441984
6,55,7822.49211
6,56,7084.587695
6,57,6418.051325
6,58,5847.339806
6,59,5402.905034
6,60,5117.751734
6,61,5019.101793
6,62,5117.751734
6,63,10829.38422
6,64,10013.76865
6,65,9234.476847
6,66,8501.503552
6,67,7827.870888
6,68,7230.184136
6,69,6728.711812
6,70,6346.303069
6,71,6105.371622
6,72,6022.919777
6,73,6105.371622
7,0,7000
7,1,6000
7,2,5000
7,3,4000
7,4,3000
7,5,2000
7,6,1000
7,7,0
7,8,10050.25664
7,9,9055.807998
7,10,8062.732694
7,11,7071.609328
7,12,6083.392022
7,13,5099.770435
7,14,4124.034249
7,15,3163.488342
7,16,2237.779813
7,17,1416.91866
7,18,1003.821941
7,19,10199.54071
7,20,9221.205495
7,21,8248.068306
7,22,7282.213316
7,23,6326.976433
7,24,5388.008053
7,25,4475.55927
7,26,3609.796502
7,27,2833.83676
7,28,2242.906771
7,29,2007.643091
7,30,10443.60628
7,31,9490.464273
7,32,8548.03557
7,33,7620.296064
7,34,6713.338373
7,35,5836.858068
7,36,5006.886469
7,37,4250.754299
7,38,3615.095035
7,39,3173.154914
7,40,3011.46345
7,41,10776.01493
7,42,9855.074718
7,43,8951.117121
7,44,8069.851158
7,45,7219.591242
7,46,6412.682567
7,47,5667.671277
7,48,5012.234802
7,49,4485.810708
7,50,4137.93399
7,51,4015.283017
7,52,11188.89551
7,53,10304.92032
7,54,9444.118953
7,55,8613.441984
7,56,7822.49211
7,57,7084.587695
7,58,6418.051325
7,59,5847.339806
7,60,5402.905034
7,61,5117.751734
7,62,5019.101793
7,63,11673.71246
7,64,10829.38422
7,65,10013.76865
7,66,9234.476847
7,67,8501.503552
7,68,7827.870888
7,69,7230.184136
7,70,6728.711812
7,71,6346.303069
7,72,6105.371622
7,73,6022.919777
8,0,3163.488342
8,1,4124.034249
8,2,5099.770435
8,3,6083.392022
8,4,7071.609328
8,5,8062.732694
8,6,9055.807998
8,7,10050.25664
8,8,0
8,9,1000
8,10,2000
8,11,3000
8,12,4000
8,13,5000
8,14,6000
8,15,7000
8,16,8000
8,17,9000
8,18,10000
8,19,1003.82115
8,20,1416.9181
8,21,2237.779458
8,22,3163.488091
8,23,4124.034057
8,24,5099.770279
8,25,6083.391891
8,26,7071.609216
8,27,8062.732595
8,28,9055.80791
8,29,10050.25656
8,30,2007.641508
8,31,2242.905354
